Entidad federativa,Año,Trimestre,PEA,PD
Jalisco,2014,4,3517378,172124
M�xico,2014,4,7265129,383289
Michoac�n de Ocampo,2014,4,1944386,77678
Morelos,2014,4,810715,27055
Nayarit,2014,4,555305,24774
Nuevo Le�n,2014,4,2302251,95447
Oaxaca,2014,4,1664270,43569
Puebla,2014,4,2631791,90042
Quer�taro,2014,4,772029,42080
Quintana Roo,2014,4,748707,34836
San Luis Potos�,2014,4,1138630,32304
Sinaloa,2014,4,1371707,52416
Sonora,2014,4,1372652,69802
Tabasco,2014,4,988823,61012
Tamaulipas,2014,4,1537566,73394
Tlaxcala,2014,4,544945,24864
Veracruz de Ignacio de la Llave,2014,4,3131139,106910
Yucat�n,2014,4,993185,25378
Zacatecas,2014,4,635847,27222
Nacional,2015,4,53809017,2240498
Aguascalientes,2015,4,548262,22266
Baja California,2015,4,1597427,59740
Baja California Sur,2015,4,375914,15810
Campeche,2015,4,411969,12422
Coahuila de Zaragoza,2015,4,1313758,55749
Colima,2015,4,359330,15298
Chiapas,2015,4,2014866,65491
Chihuahua,2015,4,1627360,55254
Ciudad de M�xico,2015,4,4403287,230791
Durango,2015,4,779604,30599
Guanajuato,2015,4,2536929,113625
Guerrero,2015,4,1456709,30388
Hidalgo,2015,4,1295452,42034
Jalisco,2015,4,3714858,158702
M�xico,2015,4,7655997,421938
Michoac�n de Ocampo,2015,4,1955573,61009
Morelos,2015,4,788902,24911
Nayarit,2015,4,585739,26324
Nuevo Le�n,2015,4,2370447,94512
Oaxaca,2015,4,1711751,46220
Puebla,2015,4,2710296,82196
Quer�taro,2015,4,842023,38768
Quintana Roo,2015,4,790255,29021
San Luis Potos�,2015,4,1174432,31993
Sinaloa,2015,4,1358096,55813
Sonora,2015,4,1386422,64345
Tabasco,2015,4,988960,73788
Tamaulipas,2015,4,1600479,68750
Tlaxcala,2015,4,566621,28648
Veracruz de Ignacio de la Llave,2015,4,3235550,132804
Yucat�n,2015,4,1010211,26024
Zacatecas,2015,4,641538,25265
Nacional,2016,4,54034800,1911126
Aguascalientes,2016,4,566914,22075
Baja California,2016,4,1636376,37124
Baja California Sur,2016,4,394690,16703
Campeche,2016,4,413636,16250
Coahuila de Zaragoza,2016,4,1366191,53433
Colima,2016,4,365409,12626
Chiapas,2016,4,1964597,54305
Chihuahua,2016,4,1674505,39529
Ciudad de M�xico,2016,4,4350772,188631
Durango,2016,4,783889,27440
Guanajuato,2016,4,2583592,106324
Guerrero,2016,4,1421962,23395
Hidalgo,2016,4,1230173,32816
Jalisco,2016,4,3694536,122827
M�xico,2016,4,7508735,362535
Michoac�n de Ocampo,2016,4,2002116,47988
Morelos,2016,4,819646,18995
Nayarit,2016,4,591315,21349
Nuevo Le�n,2016,4,2466545,101740
Oaxaca,2016,4,1716346,29821
Puebla,2016,4,2789480,77919
Quer�taro,2016,4,807243,37642
Quintana Roo,2016,4,806043,30000
San Luis Potos�,2016,4,1190841,23404
Sinaloa,2016,4,1381104,38741
Sonora,2016,4,1412624,58722
Tabasco,2016,4,1026527,77948
Tamaulipas,2016,4,1633550,67860
Tlaxcala,2016,4,580978,20824
Veracruz de Ignacio de la Llave,2016,4,3162476,109936
Yucat�n,2016,4,1050904,19221
Zacatecas,2016,4,641085,13003
Nacional,2017,4,54696638,1830793
Aguascalientes,2017,4,568031,20823
Baja California,2017,4,1677618,46052
Baja California Sur,2017,4,402255,16416
Campeche,2017,4,418346,14295
Coahuila de Zaragoza,2017,4,1350875,49524
Colima,2017,4,380332,13496
Chiapas,2017,4,1906694,47783
Chihuahua,2017,4,1676051,43551
Ciudad de M�xico,2017,4,4335159,198691
Durango,2017,4,778302,25466
Guanajuato,2017,4,2633796,100150
Guerrero,2017,4,1496749,23277
Hidalgo,2017,4,1237664,32118
Jalisco,2017,4,3757723,110347
M�xico,2017,4,7761047,310747
Michoac�n de Ocampo,2017,4,1996173,42650
Morelos,2017,4,846148,20079
Nayarit,2017,4,614098,22021
Nuevo Le�n,2017,4,2473654,85123
Oaxaca,2017,4,1696053,29613
Puebla,2017,4,2851683,71009
Quer�taro,2017,4,837024,38277
Quintana Roo,2017,4,821059,25850
San Luis Potos�,2017,4,1218530,27826
Sinaloa,2017,4,1381394,47866
Sonora,2017,4,1422873,50810
Tabasco,2017,4,990981,68456
Tamaulipas,2017,4,1647462,65599
Tlaxcala,2017,4,585404,21501
Veracruz de Ignacio de la Llave,2017,4,3236584,126803
Yucat�n,2017,4,1043167,17590
Zacatecas,2017,4,653709,16984
Nacional,2018,4,56023199,1828591
Aguascalientes,2018,4,584160,18600
Baja California,2018,4,1741615,38807
Baja California Sur,2018,4,425517,15533
Campeche,2018,4,433649,15083
Coahuila de Zaragoza,2018,4,1391498,50265
Colima,2018,4,396857,14635
Chiapas,2018,4,1969051,69128
Chihuahua,2018,4,1772618,39028
Ciudad de M�xico,2018,4,4440317,227775
Durango,2018,4,804613,32810
Guanajuato,2018,4,2659163,101227
Guerrero,2018,4,1559635,18896
Hidalgo,2018,4,1302465,27125
